TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
CONVERSATION,POST_CONVERSATION_SURVEY_START_TIME,datetime,,,Y,N,N
CONVERSATION,POST_CONVERSATION_SURVEY_END_TIME,datetime,,,Y,N,N
CONVERSATION,CONVERSATION_RATING,smallint,,,Y,N,N
CONVERSATION,CONVERSATION_FEEDBACK_DESCRIPTION,varchar,,,N,N,N
CONVERSATION,ADDEDTOQUEUE,datetime,MUL,,Y,N,N
CONVERSATION,TAKENFROMQUEUE,datetime,,,Y,N,N
CONVERSATION,HANDLED,tinyint,,,Y,N,N
CONVERSATION,ENGAGED,tinyint,MUL,,Y,N,N
CONVERSATION,KEYWORD,varchar,,,N,N,N
CONVERSATION,NUM_WAIT_TIME_NOTIFICATIONS,smallint,,,Y,N,N
CONVERSATION,SPIKE_ALERT_SENT,tinyint,,,Y,N,N
CONVERSATION,HASH,varchar,,,N,N,Y
CONVERSATION,TRANSFEROBSERVER_ID,int,MUL,,Y,N,N
CONVERSATION,FIRSTMESSAGE_ID,int,UNI,,N,Y,N
CONVERSATION,LANGUAGE,varchar,,,Y,N,N
CONVERSATION,ACTIVE_AUTO_MESSAGE_BOT_CONVERSATION_ID,int,UNI,,N,Y,N
CONVERSATION,PRESENTING_CONCERN_MESSAGE_ID,int,UNI,,N,Y,N
CONVERSATION,IS_STOPPED,tinyint,,,Y,N,N
CONVERSATION,SOURCE,varchar,,,N,N,N
CONVERSATION,IS_RISK_ASSESSED,tinyint,,,Y,N,N
CONVERSATION,IS_CEDED,tinyint,,,Y,N,N
CONVERSATION,EXTERNALID,int,,,Y,N,N
CONVERSATION_FEEDBACK,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_FEEDBACK,AUTHOR_ID,int,MUL,,N,Y,N
CONVERSATION_FEEDBACK,COUNSELOR_ID,int,MUL,,N,Y,N
CONVERSATION_FEEDBACK,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_FEEDBACK,TEXT,longtext,,,N,N,N
CONVERSATION_FEEDBACK,TIMESTAMP,datetime,,,Y,N,N
CONVERSATION_FEEDBACK_NOTE_FLAG,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_FEEDBACK_NOTE_FLAG,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_FEEDBACK_NOTE_FLAG,ACTOR_ID,int,MUL,,N,Y,N
CONVERSATION_FLAG,CONVERSATION_ID,int,PRI,,N,Y,N
CONVERSATION_FLAG,FLAG_ID,varchar,PRI,,N,Y,N
CONVERSATION_NOTIFICATION,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_NOTIFICATION,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_NOTIFICATION,OWNING_USER_ID,int,MUL,,N,Y,N
CONVERSATION_NOTIFICATION,NOTE_ID,int,UNI,,N,Y,N
CONVERSATION_NOTIFICATION,TIMESTAMP,datetime,,,Y,N,N
CONVERSATION_NOTIFICATION,TYPE,varchar,,,Y,N,N
CONVERSATION_NOTIFICATION,BODY,longtext,,,N,N,N
CONVERSATION_NOTIFICATION,IS_ACTIVE,tinyint,,,Y,N,N
CONVERSATION_PARTICIPATION,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_PARTICIPATION,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_PARTICIPATION,ACTOR_ID,int,MUL,,N,Y,N
CONVERSATION_PARTICIPATION,INTERACTION,varchar,MUL,,Y,N,N
CONVERSATION_PARTICIPATION,CREATED_ON,datetime,MUL,,Y,N,N
CONVERSATION_PARTICIPATION,ENDED_ON,datetime,MUL,,Y,N,N
CONVERSATION_QUEUE,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_QUEUE,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_QUEUE,ENTERED,datetime,,,Y,N,N
CONVERSATION_QUEUE,EXITED,datetime,,,Y,N,N
CONVERSATION_QUEUE,QUEUE,varchar,MUL,,Y,N,N
CONVERSATION_REQUEST,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_REQUEST,COUNSELOR_ID,int,MUL,,N,Y,N
CONVERSATION_REQUEST,ADDEDON,datetime,MUL,,Y,N,N
CONVERSATION_REQUEST,REMOVEDON,datetime,MUL,,Y,N,N
CONVERSATION_REQUEST,STATUS,int,MUL,,Y,N,N
CONVERSATION_REQUEST,REQUESTED_CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_REQUEST,ASSIGNED_CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_RISK_ASSESSMENT_LOG,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_RISK_ASSESSMENT_LOG,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_RISK_ASSESSMENT_LOG,LAST_COUNSELOR_MESSAGE_ID,int,MUL,,N,Y,N
CONVERSATION_RISK_ASSESSMENT_LOG,IS_HIGH_RISK,tinyint,,,Y,N,N
CONVERSATION_RISK_ASSESSMENT_LOG,IS_RISK_ASSESSED,tinyint,,,Y,N,N
CONVERSATION_RISK_ASSESSMENT_LOG,IS_FLAGGED_FOR_SUPERVISOR,tinyint,,,Y,N,N
CONVERSATION_RISK_ASSESSMENT_LOG,TIMESTAMP,datetime,,,Y,N,N
CONVERSATION_STAR,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_STAR,ACTOR_ID,int,MUL,,N,Y,N
CONVERSATION_STAR,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_STATE_LOG,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_STATE_LOG,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_STATE_LOG,STATE,varchar,MUL,,Y,N,N
CONVERSATION_STATE_LOG,ENTERED,datetime,,,Y,N,N
CONVERSATION_STATE_LOG,EXITED,datetime,,,Y,N,N
CONVERSATION_TOPIC,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION_TOPIC,CONVERSATION_ID,int,MUL,,N,Y,N
CONVERSATION_TOPIC,USER_ID,int,MUL,,N,Y,N
CONVERSATION_TOPIC,VALUE,longtext,,,N,N,N
CONVERSATION_TOPIC,TIMESTAMP,datetime,,,Y,N,N
